항목1,항목2,항목3,항목4,항목5,항목6,항목7,항목8,항목9
돼지고기,열대과일,전지우유,요거트,치즈,냉동 식품,냉동 디저트,계란,
감귤,열대과일,딸기,야채,전지우유,버터,생수,알코올,
전지우유,치즈,식빵,패스트리,소다,,,,
돼지고기,과일,전지우유,식빵,설탕,생수,소다,,
과일,버터,냉동 식품,파스타,생수,,,,
소시지,소고기,전지우유,요거트,롤빵,소다,병맥주,초콜릿,
열대과일,요거트,롤빵,식빵,생수,병맥주,,,
소고기,감귤,롤빵,기름,마가린,세정제,신문,,
소고기,돼지고기,소고기,감귤,야채,전지우유,절인 야채,,
생수,소다,와인,신문,,,,,
돼지고기,전지우유,패스트리,소스,,,,,
과일,치즈,패스트리,백포도주,전구,신문,,,
소고기,감귤,열대과일,요거트,우유,냉동 야채,롤빵,생수,피부관리용품
소고기,감귤,딸기,식빵,설탕,커피,주방 수건,,
감귤,열대과일,허브,전지우유,버터,사워 크림,냉동 야채,야채 통조림,
소고기,소고기,허브,전지우유,냉동 디저트,롤빵,밀가루,기름,
햄,전지우유,식빵,마가린,헤어 스프레이,,,,
소고기,감귤,버터우유,치즈,치즈,롤빵,마가린,생수,
소고기,감귤,전지우유,계란,롤빵,패스트리,차,야채 주스,
감귤,열대과일,포도,냉동 야채,절인 야채,야채 주스,소주,술,
열대과일,야채,사워 크림,식빵,생선 통조림,,,,
소고기,전지우유,식빵,패스트리,간식,연마제,쇼핑백,,
롤빵,소고기,생수,소다,음료수,와플,초콜릿,사탕,
열대과일,계란,롤빵,패스트리,,,,,
감귤,전지우유,요거트,야채 주스,,,,,
햄,버터,사워 크림,설탕,소다,,,,
소시지,양파,요거트,계란,커피,,,,
전지우유,계란,롤빵,소다,,,,,
소시지,야채,롤빵,소다,,,,,
소시지,소고기,열대과일,과일,패스트리,설탕,커피,양초,화초
돼지고기,전지우유,사워 크림,음료수,,,,,
전지우유,치즈,마가린,고양이 사료,세정제,그릇,쇼핑백,,
소고기,전지우유,식빵,초콜릿,신문,,,,
과일,버터우유,크림 치즈,롤빵,,,,,
소시지,전지우유,롤빵,커피,초콜릿,,,,
야채,전지우유,치즈,냉동 야채,생선,냉동 디저트,초콜릿,,
요거트,소금,잼,포도주,청소기,,,,
열대과일,치즈,롤빵,소다,,,,,
소고기,딸기,양파,롤빵,,,,,
전지우유,식빵,파스타,마가린,생수,냅킨,신문,,
돼지고기,우유,생수,소다,캔맥주,,,,
요거트,치즈,마가린,청소기,,,,,
롤빵,소다,야채 주스,캔맥주,백포도주,쇼핑백,,,
전지우유,치즈,고양이 사료,커피,,,,,
롤빵,소다,과자,쇼핑백,,,,,
치킨,양파,전지우유,식빵,백포도주,와인,,,
열대과일,양파,전지우유,버터,그릇,,,,
소시지,햄,요거트,식빵,기름,쇼핑백,,,
소시지,전지우유,치즈,소다,사탕,신문,,,
우유,냉동 디저트,야채 주스,신문,,,,,
감귤,요거트,치즈,롤빵,기름,생수,,,
계란,롤빵,패스트리,커피,양초,,,,
소고기,과일,야채,롤빵,마가린,,,,
치즈,롤빵,생수,신문,,,,,
열대과일,치즈,롤빵,소다,,,,,
전지우유,요거트,병맥주,백포도주,간식,냅킨,,,
소고기,소고기,전지우유,버터,계란,롤빵,,,
양파,전지우유,병맥주,소주,세정제,그릇,,,
소시지,야채,전지우유,병맥주,,,,,
열대과일,전지우유,요거트,사워 크림,,,,,
소고기,열대과일,야채,요거트,,,,,
열대과일,패스트리,밀가루,소주,,,,,
아이스크림,설탕,,,,,,,
소시지,롤빵,소다,캔맥주,쇼핑백,,,,
디저트,음료수,생수,,,,,,
딸기,전지우유,사워 크림,,,,,,
돼지고기,열대과일,롤빵,병맥주,신문,,,,
돼지고기,소고기,전지우유,계란,생수,병맥주,,,
냉동 디저트,브랜디,,,,,,,
치킨,포장 채소,농축 우유,냉동 야채,야채 주스,,,,
식초,기름,,,,,,,
롤빵,소다,,,,,,,
돼지고기,야채,전지우유,사워 크림,,,,,
롤빵,신문,,,,,,,
포도,지퍼백,인스턴트 식품,그릇,,,,,
야채,포장 채소,요거트,치즈,냉동 야채,아이스크림,소다,병맥주,
양파,밀가루,,,,,,,
열대과일,전지우유,롤빵,,,,,,
크림 치즈,차,초콜릿,초콜릿,,,,,
햄,햄,소고기,전지우유,화초,,,,
전지우유,마가린,병맥주,,,,,,
소시지,소고기,,,,,,,
캔맥주,소주,껌,,,,,,
햄,치킨,감귤,딸기,양파,전지우유,요거트,냉동 야채,
포장 채소,전지우유,디저트,요거트,우유,마가린,생수,,
소고기,롤빵,소다,,,,,,
치킨,포도,전지우유,사워 크림,마요네즈,,,,
감귤,열대과일,포도,요거트,롤빵,마가린,과일 통조림,생수,소다
소시지,돼지고기,소고기,딸기,야채,전지우유,버터,롤빵,고양이 사료
야채,양파,포장 채소,전지우유,사워 크림,냉동 야채,롤빵,파스타,
야채,전지우유,요거트,롤빵,,,,,
야채,전지우유,버터,커피,,,,,
딸기,사워 크림,우유,생수,소다,신문,,,
열대과일,전지우유,롤빵,마가린,야채 주스,신문,,,
소다,신문,,,,,,,
소고기,전지우유,냉동 야채,식빵,패스트리,커피,,,
전지우유,패스트리,생수,신문,사진 필름,,,,
돼지고기,생선,전지우유,버터,요거트,사워 크림,밀가루,설탕,
전지우유,껌,,,,,,,
돼지고기,포도,우유,식빵,마가린,,,,
야채,화초,,,,,,,
감귤,야채,전지우유,버터,사워 크림,기름,머스타드,생수,병맥주
과일,허브,전지우유,커피,여성용 위생용품,쇼핑백,,,
야채,디저트,요거트,크림 치즈,쌀,,,,
열대과일,롤빵,유기농 제품,신문,,,,,
소고기,야채,전지우유,버터,치즈,치즈,계란,파스타,
치킨,돼지고기,전지우유,버터,식빵,,,,
감귤,포도,전지우유,롤빵,패스트리,기름,마가린,양초,신문
소고기,소고기,열대과일,과일,사워 크림,치즈,냉동 식품,마가린,
크림 치즈,치즈,롤빵,,,,,,
감귤,허브,전지우유,생수,병맥주,화초,,,
소고기,전지우유,음료수,롤빵,마가린,초콜릿,냅킨,신문,
감귤,열대과일,과일,,,,,,
감귤,전지우유,,,,,,,
햄,야채,병맥주,초콜릿,,,,,
감귤,양파,전지우유,요거트,롤빵,파스타,머스타드,강아지 사료,
딸기,전지우유,사워 크림,계란,,,,,
포장 채소,전지우유,롤빵,패스트리,,,,,
견과류,전지우유,잼,소다,화초,쇼핑백,,,
감귤,포장 채소,전지우유,버터,사워 크림,밀가루,설탕,커피,
소고기,감귤,야채,양파,치즈,롤빵,야채 주스,,
전지우유,요거트,냉동 야채,커피,캔맥주,냅킨,,,
생선,딸기,전지우유,디저트,요거트,치즈,커피,백포도주,
전지우유,냉동 야채,계란,설탕,커피,신문,,,
열대과일,딸기,야채,전지우유,버터,요거트,사워 크림,치즈,치즈
소시지,돼지고기,생선,롤빵,감미료,스프,생수,,
소고기,야채,사워 크림,음료수,크림 치즈,와플,그릇,,
치킨,열대과일,과일,야채,포장 채소,버터,롤빵,마가린,
딸기,전지우유,사워 크림,마가린,유기농 제품,야채 주스,쇼핑백,,
소고기,야채,병맥주,초콜릿,쇼핑백,,,,
치킨,돼지고기,전지우유,사워 크림,우유,계란,롤빵,생수,
소고기,열대과일,야채,허브,전지우유,요거트,치즈,롤빵,
생수,소다,껌,냅킨,,,,,
소시지,치킨,감귤,딸기,야채,음료수,연마제,,
전지우유,우유,계란,소다,야채 주스,그릇,신문,,
야채,전지우유,식빵,강아지 사료,브랜디,쇼핑백,,,
소시지,햄,감귤,열대과일,딸기,포장 채소,전지우유,사워 크림,치즈
소고기,야채,전지우유,크림 치즈,,,,,
버터우유,요거트,치즈,커피,,,,,
돼지고기,딸기,사워 크림,음료수,밀가루,기름,소다,초콜릿,신문
포도,전지우유,치즈,롤빵,식빵,야채 주스,,,
야채,양파,요거트,롤빵,커피,생수,그릇,,
전지우유,냉동 식품,롤빵,식빵,냅킨,,,,
치킨,돼지고기,전지우유,냉동 야채,식빵,식초,병맥주,와인,신문
소시지,포도,롤빵,소다,간식,,,,
전지우유,치즈,계란,감미료,생수,소다,쇼핑백,,
열대과일,전지우유,요거트,치즈,치즈,치즈,치즈,냉동 야채,
햄,감귤,전지우유,디저트,냉동 식품,커피,팝콘,쇼핑백,
전지우유,크림 치즈,밀가루,커피,생수,음료수,신문,,
생수,소다,야채 주스,병맥주,냅킨,,,,
열대과일,야채,냉동 야채,아이스크림,생수,,,,
햄,소고기,포도,요거트,사워 크림,계란,식빵,패스트리,생수
돼지고기,감귤,우유,식빵,소다,병맥주,캔맥주,,
음료수,롤빵,소다,음료수,소주,케이크,,,
소시지,감귤,전지우유,요거트,롤빵,생수,소다,냅킨,
야채,전지우유,버터,요거트,크림 치즈,생선,쇼핑백,,
딸기,전지우유,사워 크림,절인 야채,세정제,신문,,,
딸기,야채,전지우유,음료수,설탕,수프,커피,쇼핑백,
소고기,포도,딸기,전지우유,요거트,롤빵,신문,화초,
롤빵,커피,커피,간식,초콜릿,,,,
전지우유,패스트리,세정제,양초,,,,,
돼지고기,열대과일,포도,치즈,소다,냅킨,쇼핑백,,
열대과일,포도,딸기,전지우유,버터,디저트,요거트,사워 크림,
치킨,돼지고기,감귤,사워 크림,식빵,껌,화초,,
사워 크림,계란,밀가루,음료수,신문,,,,
양파,전지우유,디저트,계란,롤빵,식빵,커피,생수,
열대과일,야채,계란,식빵,야채 통조림,소다,야채 주스,,
열대과일,패스트리,캔맥주,초콜릿,,,,,
감귤,야채,포장 채소,요거트,치즈,롤빵,식빵,지퍼백,
우유,소금,소다,초콜릿,쇼핑백,,,,
요거트,치즈,설탕,야채 통조림,,,,,
감귤,전지우유,디저트,요거트,냉동 야채,야채 주스,병맥주,간식,
요거트,식빵,병맥주,백포도주,,,,,
소시지,감귤,딸기,전지우유,요거트,사워 크림,크림 치즈,냉동 야채,
과일,야채,디저트,요거트,계란,쇼핑백,,,
포장 채소,디저트,마요네즈,기름,소다,와플,초콜릿,,쇼핑백
치킨,사워 크림,냉동 야채,생수,,,,,
돼지고기,전지우유,요거트,사워 크림,크림 치즈,계란,식빵,설탕,
감귤,전지우유,요거트,사워 크림,크림 치즈,패스트리,식초,,
소시지,냉동 식품,계란,케이크,세정제,청소기,,,
치킨,열대과일,과일,야채,전지우유,버터,요거트,사워 크림,
돼지고기,소고기,아이스크림,롤빵,신문,,,,
돼지고기,열대과일,요거트,밀가루,마가린,감미료,유기농 제품,,
열대과일,과일,포도,야채,허브,요거트,베이킹 파우더,화초,
사워 크림,크림 치즈,생수,캔맥주,쇼핑백,,,,
딸기,야채,버터,치즈,계란,롤빵,야채 주스,포도주,
딸기,디저트,사워 크림,식빵,커피,쇼핑백,,,
전지우유,버터,파스타,음료수,,,,,
감귤,딸기,버터우유,요거트,,,,,
소고기,포도,견과류,야채,양파,크림,치즈,치즈,
돼지고기,감귤,포도,야채,전지우유,스프,화초,,
햄,열대과일,과일,야채,버터우유,요거트,치즈,,
소고기,열대과일,양파,전지우유,버터,버터우유,요거트,,
과일,전지우유,계란,생수,,,,,
포도,지퍼백,소다,와플,,,,,
야채,크림 치즈,파스타,기름,마가린,간식,화초,,
소고기,생수,음료수,초콜릿,쇼핑백,,,,
돼지고기,전지우유,롤빵,병맥주,,,,,
캔맥주,초콜릿,사탕,쇼핑백,,,,,
요거트,사워 크림,밀가루,마가린,설탕,베이킹 파우더,고양이 사료,소다,야채 주스
과일,디저트,요거트,초콜릿,신문,쇼핑백,,,
소고기,치킨,야채,전지우유,기름,,,,
소시지,전지우유,사워 크림,파스타,야채 주스,,,,
돼지고기,허브,요거트,계란,그릇,,,,
야채,치즈,마가린,캔맥주,,,,,
소시지,열대과일,포도,치즈,냉동 식품,계란,식빵,간식,
소시지,감귤,과일,야채,전지우유,요거트,사워 크림,치즈,
열대과일,전지우유,식빵,음료수,병맥주,,,,
포도,요거트,우유,치즈,롤빵,야채 주스,사탕,신문,
돼지고기,아이스크림,소다,케이크,,,,,
전지우유,롤빵,지퍼백,병맥주,,,,,
소시지,포도,버터,요거트,사워 크림,음료수,우유,치즈,
감귤,식빵,소주,쇼핑백,,,,,
햄,버터,요거트,치즈,아이스크림,계란,음료수,야채 주스,
소고기,열대과일,과일,포도,야채,치즈,롤빵,식빵,패스트리
전지우유,요거트,치즈,시리얼,병맥주,,,,
소시지,전지우유,치즈,식빵,베이킹 파우더,절인 야채,소주,,
생수,소다,야채 주스,껌,사탕,,,,
치킨,소고기,전지우유,식빵,패스트리,소스,절인 야채,생수,
치킨,감귤,야채,전지우유,요거트,치즈,치즈,마요네즈,
치킨,열대과일,전지우유,농축 우유,치즈,치즈,계란,식빵,패스트리
버터,롤빵,패스트리,생수,캔맥주,와플,,,
감귤,야채,디저트,요거트,우유,식빵,,,
소고기,감귤,전지우유,계란,롤빵,식빵,커피,소다,
소시지,열대과일,과일,버터,디저트,버터우유,,,
