거래번호,항목1,항목2,항목3,항목4,항목5,항목6,항목7,항목8,항목9
10588,돼지고기,열대과일,전지우유,요거트,치즈,냉동 식품,냉동 디저트,계란,
10596,감귤,열대과일,딸기,야채,전지우유,버터,생수,알코올,
10597,전지우유,치즈,식빵,패스트리,소다,,,,
10605,돼지고기,과일,전지우유,식빵,설탕,생수,소다,,
10607,과일,버터,냉동 식품,파스타,생수,,,,
10609,소시지,소고기,전지우유,요거트,롤빵,소다,병맥주,초콜릿,
10612,열대과일,요거트,롤빵,식빵,생수,병맥주,,,
10614,소고기,감귤,롤빵,기름,마가린,세정제,신문,,
10615,소고기,돼지고기,소고기,감귤,야채,전지우유,절인 야채,,
10617,생수,소다,와인,신문,,,,,
10620,돼지고기,전지우유,패스트리,소스,,,,,
10621,과일,치즈,패스트리,백포도주,전구,신문,,,
10622,소고기,감귤,열대과일,요거트,우유,냉동 야채,롤빵,생수,피부관리용품
10623,소고기,감귤,딸기,식빵,설탕,커피,주방 수건,,
10625,감귤,열대과일,허브,전지우유,버터,사워 크림,냉동 야채,야채 통조림,
10626,소고기,소고기,허브,전지우유,냉동 디저트,롤빵,밀가루,기름,
10629,햄,전지우유,식빵,마가린,헤어 스프레이,,,,
10631,소고기,감귤,버터우유,치즈,치즈,롤빵,마가린,생수,
10632,소고기,감귤,전지우유,계란,롤빵,패스트리,차,야채 주스,
10634,감귤,열대과일,포도,냉동 야채,절인 야채,야채 주스,소주,술,
10636,열대과일,야채,사워 크림,식빵,생선 통조림,,,,
10638,소고기,전지우유,식빵,패스트리,간식,연마제,쇼핑백,,
10642,롤빵,소고기,생수,소다,음료수,와플,초콜릿,사탕,
10647,열대과일,계란,롤빵,패스트리,,,,,
10659,감귤,전지우유,요거트,야채 주스,,,,,
10662,햄,버터,사워 크림,설탕,소다,,,,
10664,소시지,양파,요거트,계란,커피,,,,
10666,전지우유,계란,롤빵,소다,,,,,
10669,소시지,야채,롤빵,소다,,,,,
10675,소시지,소고기,열대과일,과일,패스트리,설탕,커피,양초,화초
10676,돼지고기,전지우유,사워 크림,음료수,,,,,
10678,전지우유,치즈,마가린,고양이 사료,세정제,그릇,쇼핑백,,
10680,소고기,전지우유,식빵,초콜릿,신문,,,,
10681,과일,버터우유,크림 치즈,롤빵,,,,,
10682,소시지,전지우유,롤빵,커피,초콜릿,,,,
10685,야채,전지우유,치즈,냉동 야채,생선,냉동 디저트,초콜릿,,
10690,요거트,소금,잼,포도주,청소기,,,,
10691,열대과일,치즈,롤빵,소다,,,,,
10694,소고기,딸기,양파,롤빵,,,,,
10695,전지우유,식빵,파스타,마가린,생수,냅킨,신문,,
10696,돼지고기,우유,생수,소다,캔맥주,,,,
10697,요거트,치즈,마가린,청소기,,,,,
10698,롤빵,소다,야채 주스,캔맥주,백포도주,쇼핑백,,,
10701,전지우유,치즈,고양이 사료,커피,,,,,
10704,롤빵,소다,과자,쇼핑백,,,,,
10707,치킨,양파,전지우유,식빵,백포도주,와인,,,
10708,열대과일,양파,전지우유,버터,그릇,,,,
10709,소시지,햄,요거트,식빵,기름,쇼핑백,,,
10710,소시지,전지우유,치즈,소다,사탕,신문,,,
10712,우유,냉동 디저트,야채 주스,신문,,,,,
10723,감귤,요거트,치즈,롤빵,기름,생수,,,
10726,계란,롤빵,패스트리,커피,양초,,,,
10727,소고기,과일,야채,롤빵,마가린,,,,
10728,치즈,롤빵,생수,신문,,,,,
10729,열대과일,치즈,롤빵,소다,,,,,
10731,전지우유,요거트,병맥주,백포도주,간식,냅킨,,,
10732,소고기,소고기,전지우유,버터,계란,롤빵,,,
10733,양파,전지우유,병맥주,소주,세정제,그릇,,,
10740,소시지,야채,전지우유,병맥주,,,,,
10741,열대과일,전지우유,요거트,사워 크림,,,,,
10744,소고기,열대과일,야채,요거트,,,,,
10745,열대과일,패스트리,밀가루,소주,,,,,
10752,아이스크림,설탕,,,,,,,
10753,소시지,롤빵,소다,캔맥주,쇼핑백,,,,
10755,디저트,음료수,생수,,,,,,
10759,딸기,전지우유,사워 크림,,,,,,
10760,돼지고기,열대과일,롤빵,병맥주,신문,,,,
10762,돼지고기,소고기,전지우유,계란,생수,병맥주,,,
10764,냉동 디저트,브랜디,,,,,,,
10765,치킨,포장 채소,농축 우유,냉동 야채,야채 주스,,,,
10766,식초,기름,,,,,,,
10767,롤빵,소다,,,,,,,
10769,돼지고기,야채,전지우유,사워 크림,,,,,
10770,롤빵,신문,,,,,,,
10771,포도,지퍼백,인스턴트 식품,그릇,,,,,
10773,야채,포장 채소,요거트,치즈,냉동 야채,아이스크림,소다,병맥주,
10774,양파,밀가루,,,,,,,
10775,열대과일,전지우유,롤빵,,,,,,
10776,크림 치즈,차,초콜릿,초콜릿,,,,,
10777,햄,햄,소고기,전지우유,화초,,,,
10778,전지우유,마가린,병맥주,,,,,,
10780,소시지,소고기,,,,,,,
10781,캔맥주,소주,껌,,,,,,
10782,햄,치킨,감귤,딸기,양파,전지우유,요거트,냉동 야채,
10783,포장 채소,전지우유,디저트,요거트,우유,마가린,생수,,
10784,소고기,롤빵,소다,,,,,,
10793,치킨,포도,전지우유,사워 크림,마요네즈,,,,
10795,감귤,열대과일,포도,요거트,롤빵,마가린,과일 통조림,생수,소다
10796,소시지,돼지고기,소고기,딸기,야채,전지우유,버터,롤빵,고양이 사료
10797,야채,양파,포장 채소,전지우유,사워 크림,냉동 야채,롤빵,파스타,
10798,야채,전지우유,요거트,롤빵,,,,,
10801,야채,전지우유,버터,커피,,,,,
10802,딸기,사워 크림,우유,생수,소다,신문,,,
10804,열대과일,전지우유,롤빵,마가린,야채 주스,신문,,,
10807,소다,신문,,,,,,,
10809,소고기,전지우유,냉동 야채,식빵,패스트리,커피,,,
10810,전지우유,패스트리,생수,신문,사진 필름,,,,
10811,돼지고기,생선,전지우유,버터,요거트,사워 크림,밀가루,설탕,
10812,전지우유,껌,,,,,,,
10814,돼지고기,포도,우유,식빵,마가린,,,,
10815,야채,화초,,,,,,,
10817,감귤,야채,전지우유,버터,사워 크림,기름,머스타드,생수,병맥주
10818,과일,허브,전지우유,커피,여성용 위생용품,쇼핑백,,,
10819,야채,디저트,요거트,크림 치즈,쌀,,,,
10820,열대과일,롤빵,유기농 제품,신문,,,,,
10821,소고기,야채,전지우유,버터,치즈,치즈,계란,파스타,
10822,치킨,돼지고기,전지우유,버터,식빵,,,,
10823,감귤,포도,전지우유,롤빵,패스트리,기름,마가린,양초,신문
10824,소고기,소고기,열대과일,과일,사워 크림,치즈,냉동 식품,마가린,
10825,크림 치즈,치즈,롤빵,,,,,,
10826,감귤,허브,전지우유,생수,병맥주,화초,,,
10828,소고기,전지우유,음료수,롤빵,마가린,초콜릿,냅킨,신문,
10829,감귤,열대과일,과일,,,,,,
10831,감귤,전지우유,,,,,,,
10832,햄,야채,병맥주,초콜릿,,,,,
10833,감귤,양파,전지우유,요거트,롤빵,파스타,머스타드,강아지 사료,
10840,딸기,전지우유,사워 크림,계란,,,,,
10841,포장 채소,전지우유,롤빵,패스트리,,,,,
10843,견과류,전지우유,잼,소다,화초,쇼핑백,,,
10844,감귤,포장 채소,전지우유,버터,사워 크림,밀가루,설탕,커피,
10845,소고기,감귤,야채,양파,치즈,롤빵,야채 주스,,
10846,전지우유,요거트,냉동 야채,커피,캔맥주,냅킨,,,
10849,생선,딸기,전지우유,디저트,요거트,치즈,커피,백포도주,
10850,전지우유,냉동 야채,계란,설탕,커피,신문,,,
10851,열대과일,딸기,야채,전지우유,버터,요거트,사워 크림,치즈,치즈
10853,소시지,돼지고기,생선,롤빵,감미료,스프,생수,,
