고객ID,성별,연령,서비스기간,단선횟수,주간통화횟수,주간통화시간_분,야간통화횟수,야간통화시간_분,주말통화횟수,주말통화시간_분,국제통화시간_분,국내통화횟수,국내통화시간_분,총통화시간_분,통화량구분,총통화요금,부과요금,통화품질불만,이탈여부
C101180,남,37,20.333333,1,29,46.8,17,47.4,3,30,14.555928,49,124.2,138.755928,저,5.822371,65.762371,F,이탈
C101300,남,38,35,1,25,33.024909,20,19.814945,2,37.218548,12.091963,47,90.058402,102.150365,저,4.836785,64.776785,F,이탈
C101770,남,30,17.5,0,2,67.8,6,30.6,8,75,42.715277,16,173.4,216.115277,저,17.086111,77.026111,F,이탈
C101780,남,33,25.966667,0,10,52.200001,48,90.300001,12,19.5,19.299243,70,162.000002,181.299245,저,7.719697,67.659697,F,이탈
C101800,남,40,51.466667,2,7,25.008754,24,39.726294,2,2.950885,1.413106,33,67.685933,69.099039,저,0.565242,60.505242,F,이탈
C101810,남,44,17.233333,1,4,38.4,17,45.899999,24,54,20.72818,45,138.299999,159.028179,저,8.291272,68.231272,F,이탈
C101820,남,26,53.066667,0,7,49.8,1,13.5,27,51,33.562277,35,114.3,147.862277,저,13.424911,73.364911,F,이탈
C102600,여,45,24.7,2,234,522,185,299.100001,46,97.8,257.307962,465,918.900001,1176.207963,중,111.253158,216.253158,F,유지
C102610,여,34,24.866667,2,337,580.8,11,92.4,29,61.8,216.89375,377,735,951.89375,중,82.48588,187.48588,F,이탈
C102640,남,27,58,5,345,704.400001,75,138.599999,6,41,273.148909,426,884,1157.148909,중,118.774718,223.774718,F,유지
C102650,남,30,18,10,323,659.4,47,91.5,4,21.6,190.608311,374,772.5,963.108311,중,80.531959,185.531959,F,유지
C102660,여,31,27.266667,2,179,365.4,49,229.799999,2,21,190.686325,230,616.199999,806.886324,중,58.97654,163.97654,F,유지
C102670,여,33,16.333333,1,222,453.6,32,325.500001,2,18,212.556919,256,797.100001,1009.65692,중,84.838305,189.838305,F,이탈
C102700,여,34,28.333333,1,402,691.2,78,216.9,12,22.8,254.2084,492,930.9,1185.1084,중,117.377085,222.377085,F,유지
C102710,남,31,25.7,10,228,466.8,85,196.500001,21,39,222.938822,334,702.300001,925.238823,중,78.796254,183.796254,F,유지
C102720,남,34,56.033333,2,301,480,117,356.7,0,0,245.999108,418,836.7,1082.699108,중,99.213793,204.213793,F,이탈
C102730,남,27,56.266667,1,329,675,14,69.9,41,68.400001,246.765202,384,813.300001,1060.065203,중,102.397438,207.397438,F,유지
C102750,여,40,32.8,0,368,756.6,8,142.199999,1,1.8,229.34503,377,900.599999,1129.945029,중,109.087113,214.087113,F,유지
C102770,여,27,42.166667,1,495,789.6,33,55.2,45,90,308.060657,573,934.8,1242.860657,중,137.437838,242.437838,F,이탈
C102780,여,32,53.133333,1,359,740.4,28,135.900001,5,47.4,292.82955,392,923.700001,1216.529551,중,129.980328,234.980328,F,유지
C102840,여,26,27.333333,6,152,315.600001,160,282.9,7,25.200001,190.123905,319,623.700002,813.823907,중,59.421421,164.421421,F,유지
C102880,남,41,30.3,0,414,625.8,78,123.6,20,41.4,191.532014,512,790.8,982.332014,중,82.098572,187.098572,F,유지
C102890,여,48,17.133333,1,441,766.2,9,66,0,0,193.129369,450,832.2,1025.329369,중,90.927282,195.927282,F,이탈
C102920,남,33,42.6,2,336,517.8,239,373.8,15,38,221.938216,590,929.6,1151.538216,중,101.420639,206.420639,F,유지
C102930,여,34,28.333333,2,290,505.8,78,249.900001,20,33,211.389266,388,788.700001,1000.089267,중,84.953271,189.953271,F,이탈
C102970,여,29,27.1,2,276,581.4,74,286.2,3,13.8,290.16962,353,881.4,1171.56962,중,119.682942,224.682942,F,유지
C102980,여,47,35.466667,2,317,669,145,266.699999,3,41.4,239.792332,465,977.099999,1216.892331,중,116.61195,221.61195,F,이탈
C103050,여,52,42.433333,1,364,637.2,86,282.6,8,51.6,283.797206,458,971.4,1255.197206,중,128.071534,233.071534,F,유지
C103060,여,50,21.533333,1,468,707.4,78,128.700001,25,65.4,264.87378,571,901.500001,1166.373781,중,118.195603,223.195603,F,유지
C103150,여,29,34.633333,10,303,530.4,0,0,23,40,212.176794,326,570.4,782.576794,중,63.653038,168.653038,F,유지
C103640,남,26,36.433333,11,294,656.4,113,255.6,0,0,231.882827,407,912,1143.882827,중,107.620638,212.620638,F,유지
C103680,여,29,16.066667,1,335,749.4,23,179.4,5,11.4,199.707839,363,940.2,1139.907839,중,104.038484,209.038484,F,유지
C103700,남,35,13.433333,1,264,592.799999,170,336.6,10,27.6,268.959167,444,956.999999,1225.959166,중,120.651606,225.651606,F,이탈
C103710,여,32,31.066667,2,316,567.6,76,262.200001,4,52.799999,246.494204,396,882.6,1129.094204,중,106.252265,211.252265,F,유지
C103760,여,55,27.7,0,273,617.4,10,82.200001,3,5,185.726299,286,704.600001,890.3263,중,70.113379,175.113379,F,유지
C103770,여,32,32.266667,1,384,690.600001,65,155.100001,9,18.600001,213.303188,458,864.300003,1077.603191,중,98.32427,203.32427,F,유지
C103780,여,33,21.833333,2,427,769.2,3,24.9,9,75,257.253806,439,869.1,1126.353806,중,114.447932,219.447932,F,유지
C103840,여,39,48.4,0,290,663,64,194.400001,10,36,186.284819,364,893.400001,1079.68482,중,92.328918,197.328918,F,유지
C103930,남,57,33.7,2,419,636,101,281.4,6,42,238.38632,526,959.4,1197.78632,중,113.311037,218.311037,F,유지
C103950,여,31,56.7,1,269,624,4,55.5,41,94.2,188.138422,314,773.7,961.838422,중,79.135677,184.135677,F,이탈
C104000,여,33,40.5,2,368,601.2,0,0,5,52.2,216.412589,373,653.4,869.812589,중,72.507165,177.507165,F,유지
C104020,여,28,51.8,0,312,727.8,0,0,4,28.8,294.653878,316,756.6,1051.253878,중,111.290065,216.290065,F,유지
C104030,남,32,27.3,1,138,321.599999,167,275.1,26,42,183.349607,331,638.699999,822.049606,중,58.888515,163.888515,F,유지
C104050,여,28,19.533333,0,257,599.4,113,250.5,29,50.4,237.746534,399,900.3,1138.046534,중,106.332276,211.332276,F,유지
C104060,남,53,36.5,0,245,446.4,115,397.8,8,37.8,180.985366,368,882,1062.985366,중,82.668263,187.668263,F,이탈
C104090,여,27,26.633333,1,199,466.8,3,229.8,18,66,225.391396,220,762.6,987.991396,중,85.700432,190.700432,F,이탈
C104100,여,26,32.5,1,179,419.4,173,327.6,11,84,227.773177,363,831,1058.773177,중,91.540365,196.540365,F,유지
C104110,여,45,33.566667,10,211,348,121,303,4,24,208.242864,336,675,883.242864,중,70.089526,175.089526,F,유지
C104140,남,28,15.233333,2,196,461.4,39,179.4,0,0,191.711479,235,640.8,832.511479,중,62.491197,167.491197,F,유지
C104150,남,46,13.2,1,321,587.4,45,140.1,6,15.6,233.570895,372,743.1,976.670895,중,88.537928,193.537928,F,유지
C104160,남,31,11.833333,1,441,687,6,66.900001,6,36,240.05516,453,789.900001,1029.955161,중,98.027727,203.027727,F,유지
C104170,여,34,10.066667,1,191,450.6,49,113.4,15,67.799999,180.726371,255,631.799999,812.52637,중,58.075888,163.075888,F,유지
C104180,남,32,31.133333,0,422,772.800001,67,131.1,0,0,187.996978,489,903.900001,1091.896979,중,97.576384,202.576384,F,유지
C104220,여,38,24,0,237,565.2,113,264.9,21,67.8,185.640813,371,897.9,1083.540813,중,89.339118,194.339118,F,유지
C104230,여,37,28.6,1,329,784.8,6,74.4,14,31.500001,241.759284,349,890.700001,1132.459285,중,112.6765,217.6765,F,유지
C104260,여,37,37.8,1,508,791.400001,28,44.1,14,25.8,230.110152,550,861.300001,1091.410153,중,106.107429,211.107429,F,유지
C104320,남,26,48.466667,2,434,714.6,119,203.099999,3,16,290.254553,556,933.699999,1223.954552,중,129.300835,234.300835,F,유지
C104330,남,36,50.4,0,310,748.799998,36,147.3,0,0,272.210085,346,896.099998,1168.310083,중,121.210764,226.210764,F,유지
C104350,여,31,42.566667,2,246,595.200001,95,177.900001,81,145.200001,231.004001,422,918.300003,1149.304004,중,105.846949,210.846949,F,이탈
C104360,남,35,51.833333,2,294,544.2,21,169.8,13,63.6,195.406439,328,777.6,973.006439,중,79.931191,184.931191,F,유지
C104380,여,32,14.633333,8,337,622.8,55,167.1,1,5.5,220.394521,393,795.4,1015.794521,중,91.188221,196.188221,F,유지
C104390,여,30,14.266667,2,241,585.6,42,101.4,24,66.6,211.150113,307,753.6,964.750113,중,82.96083,187.96083,F,유지
C104440,여,38,40.733333,0,394,651,1,185.4,33,98.499999,215.953426,428,934.899999,1150.853425,중,104.851158,209.851158,F,유지
C104490,남,53,17.4,3,198,487.799999,1,216.9,11,44.5,203.639202,210,749.199999,952.839201,중,78.26609,183.26609,F,유지
C104500,여,35,21.5,1,192,473.399999,175,366,2,6,268.646134,369,845.399999,1114.046133,중,106.605543,211.605543,F,이탈
C104510,남,38,47.766667,2,243,601.800001,11,109.199999,21,34.800001,183.554611,275,745.800001,929.354612,중,74.121259,179.121259,F,유지
C104530,남,33,56.7,6,234,577.799999,1,210.6,32,71.399999,252.06753,267,859.799998,1111.867528,중,106.069254,211.069254,F,이탈
C104540,남,56,24.466667,0,377,588.599999,70,208.8,22,42,258.015017,469,839.399999,1097.415016,중,106.161596,211.161596,F,유지
C104560,여,52,56.033333,0,221,555.6,46,92.4,7,25,210.845536,274,673,883.845536,중,72.930228,177.930228,F,유지
C104580,남,52,31.866667,0,365,681.6,54,138.6,4,22.800001,255.96307,423,843.000001,1098.963071,중,108.586466,213.586466,F,유지
C104590,남,51,21.7,2,233,580.2,59,330.3,2,88.2,185.358987,294,998.7,1184.058987,중,98.705382,203.705382,F,유지
C104630,여,45,13.766667,1,264,438,217,341.4,16,43.800001,240.724008,497,823.200001,1063.924009,중,95.253004,200.253004,F,유지
C104650,남,45,19.866667,1,244,612.599999,176,363,8,15.599999,184.196949,428,991.199998,1175.396947,중,98.99676,203.99676,F,유지
C104670,남,46,38.233333,1,376,705.600001,32,123.299999,11,76.8,229.531207,419,905.7,1135.231207,중,107.960407,212.960407,F,유지
C104710,여,51,12.1,1,194,492.6,1,197.4,18,67.2,224.024392,213,757.2,981.224392,중,85.294037,190.294037,F,이탈
C104760,남,29,42.9,2,273,453,197,366.900001,11,27.6,268.536481,481,847.500001,1116.036482,중,106.165148,211.165148,F,유지
C105110,여,31,16.4,0,292,765.6,13,48,0,0,193.543268,305,813.6,1007.143268,중,88.842803,193.842803,F,유지
C105120,여,41,23.933333,2,282,471.6,31,225.3,23,35.500001,209.473494,336,732.400001,941.873495,중,77.987422,182.987422,F,유지
C105130,여,32,34.966667,2,369,703.799999,67,148.200001,0,0,247.216538,436,852,1099.216538,중,107.581581,212.581581,F,유지
