Trans_ID,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7
1,fish,pork,olives,,,,
2,baguette,soda,fish,cracker,beer,,
3,avocado,cracker,potato,beer,,,
4,olives,whiskey,coke,turkey,ice_cream,,
5,fish,pork,apples,olives,steak,,
6,lobster,beer,chicken,,,,
7,olives,whiskey,coke,turkey,ice_cream,,
8,pork,peppers,whiskey,cracker,chicken,,
9,soda,olives,whiskey,,,,
10,pork,peppers,whiskey,cracker,chicken,wine,
11,baguette,lobster,apples,peppers,avocado,steak,
12,baguette,fish,avocado,potato,beer,,
13,fish,pork,apples,,,,
14,baguette,lobster,apples,peppers,,,
15,fish,pork,olives,ham,turkey,,
16,olives,whiskey,coke,turkey,ice_cream,potato,
17,baguette,fish,avocado,potato,pork,,
18,lobster,beer,chicken,coke,ice_cream,pork,
19,soda,olives,whiskey,cracker,beer,,
20,soda,olives,whiskey,cracker,beer,steak,fish
21,fish,pork,olives,ham,,,
22,baguette,fish,avocado,beer,,,
23,soda,olives,whiskey,cracker,beer,potato,
24,soda,olives,whiskey,cracker,beer,pork,fish
25,lobster,beer,chicken,,,,
26,lobster,beer,chicken,coke,ice_cream,pork,
27,olives,whiskey,coke,turkey,ice_cream,apples,
28,olives,whiskey,coke,turkey,,,
29,soda,olives,whiskey,cracker,beer,potato,peppers
30,olives,whiskey,coke,,,,
31,olives,whiskey,coke,turkey,,,
32,pork,peppers,whiskey,,,,
33,baguette,lobster,apples,peppers,avocado,,
34,soda,olives,whiskey,cracker,beer,,
35,baguette,fish,potato,turkey,,,
36,fish,pork,olives,ham,turkey,cracker,
37,avocado,cracker,potato,beer,ham,pork,lobster
38,soda,olives,whiskey,cracker,beer,,
39,baguette,avocado,potato,,,,
40,lobster,beer,chicken,coke,ice_cream,potato,steak
41,soda,olives,whiskey,cracker,beer,,
42,fish,pork,apples,olives,steak,baguette,chicken
43,lobster,beer,chicken,,,,
44,soda,olives,whiskey,cracker,,,
45,fish,pork,olives,ham,turkey,whiskey,beer
46,pork,peppers,whiskey,cracker,chicken,ice_cream,
47,baguette,lobster,apples,peppers,,,
48,baguette,soda,fish,cracker,beer,lobster,
49,pork,peppers,whiskey,cracker,chicken,,
50,avocado,cracker,potato,,,,
