권역,주관대학명,사업단명
경기·인천,가천대학교,수학기반 금융미드필더 양성 사업단
경기·인천,가천대학교,린-스타트업(lean-startup)기반디자인특성화사업(단)
경기·인천,가천대학교,C3ube 시스템에 의한 바이오융합 인재양성
경기·인천,가천대학교,기업맞춤형 Edu-EcoSystem 기반 소프트웨어 인재 양성
경기·인천,가천대학교,통합적 휴먼서비스 인재양성
경기·인천,가천대학교,바람개비 보건과학 사업단
경기·인천,가톨릭대학교,소재화학 사업단
경기·인천,가톨릭대학교,지역사회심리사업단
경기·인천,경기대학교,지역공동체의 통합안전망과 회복탄력성 강화를 위한
경기·인천,경기대학교,융합형 창의 인재 양성 사업단
경기·인천,경기대학교,경기대학교 디자인비즈니스교육특성화사업단
경기·인천,단국대학교,켐바이오 글로벌 전문인력 양성 사업단
경기·인천,아주대학교,Globiz 인재양성 사업단
경기·인천,아주대학교,프랑코포니 전문인력 양성
경기·인천,아주대학교,인문학과 문화콘텐츠의 선순환적 융합교육:
경기·인천,아주대학교,디지털 휴머니티 트랙 기반
경기·인천,아주대학교,스마트 제조서비스 융합인력 양성
경기·인천,아주대학교,미디어콘텐츠/데이터사이언스 융합인재 양성사업단
경기·인천,아주대학교,융합전자특성화사업단
경기·인천,인천대학교,글로벌융합대학
경기·인천,인천대학교,지역밀착형 글로벌 통상 전문 인력 양성 사업단
경기·인천,인천대학교,미래도시의 탐색형 창의교육 사업단
경기·인천,인하대학교,미래 선도형 화학인력양성 사업단
경기·인천,인하대학교,체험형 창의물리인재양성 특성화 사업단
경기·인천,인하대학교,스마트 전기에너지 창조인재육성 사업단
경기·인천,한경대학교,창의창업혁신(C-Monovation)사업단
경기·인천,한국항공대학교,융합적 미래 항공운송인력 양성 사업단 (ISAAC-F4)
경기·인천,한양대학교_분교,인문가치의 실용화를 통한 글로벌 융합형
경기·인천,한양대학교_분교,문화콘텐츠 창의인재 양성 사업단
경기·인천,한양대학교_분교,창의적 실용 기계인력 양성사업단
경기·인천,한양대학교_분교,학연산 기반 전자 창의 인력양성 사업단
경기·인천,한양대학교_분교,융합형 창의 소재부품 인력양성 사업단
경기·인천,강릉원주대학교,환동해권비즈니스인력양성사업단
경기·인천,강릉원주대학교,지구환경변화 대응 융합형 과학인재 육성 사업단
경기·인천,강릉원주대학교,동해안해양바이오산업창조인재양성사업단
경기·인천,강릉원주대학교,융복합 신산업 소프트웨어 인재양성 사업단
대경·강원권,강원대학교,RASE(자기주도형) 미디어콘텐츠 인력양성 사업단
대경·강원권,강원대학교,지역공동체 휴먼공공서비스 전문인력양성 사업단
대경·강원권,강원대학교,융합지구과학기술 인력양성사업단
대경·강원권,강원대학교,동물생명 6차산업 특성화 사업단
대경·강원권,경북대학교,글로벌 식량자원 농업개발 전문 인재양성 사업단
대경·강원권,경북대학교,글로컬 문화 콘텐츠 창의인재양성 사업단
대경·강원권,경북대학교,상상과 치유의 인문인재 양성 사업단
대경·강원권,경북대학교,기초과학인재양성사업단
대경·강원권,경북대학교,원예식품융복합글로컬인재양성사업단
대경·강원권,경북대학교,미래산업소재사업단
대경·강원권,경북대학교(영남대),스마트전자특성화사업단
대경·강원권,경운대학교,노인체육 전문지도자 양성사업단
대경·강원권,경운대학교,"HSE(Health, Safety, Environment)"
대경·강원권,경운대학교,특화 보건의료인력 양성사업단
대경·강원권,경일대학교,범죄피해 CARE 전문가 양성 사업단
대경·강원권,경일대학교,베이비부머 Life Designer 양성 사업단
대경·강원권,경일대학교,목표지향형 소방안전 인력양성사업단
대경·강원권,경일대학교,기계·IT융합 자동차부품 전문인력양성사업단
대경·강원권,경일대학교,첨단 ICT융합 생애주기 시설물성능개선 인력양성사업단
대경·강원권,계명대학교,글로벌역량을 갖춘 현장형 정보전문가 양성사업단
대경·강원권,계명대학교,융복합미디어콘텐츠 창조인재양성사업단
대경·강원권,계명대학교,지역산업친화형 식품바이오전문인력 양성사업단
대경·강원권,계명대학교,FTA지역특화 창의적 경제통상인재 양성사업단
대경·강원권,계명대학교,"(FTASEP, FTA Area Specialist Education Program)"
대경·강원권,계명대학교,커뮤니케이션문제해결을위한창의적전문인재양성사업단
대경·강원권,계명대학교,(CreativeSolutionSpecialistforCommunication)
대경·강원권,관동대학교,영동문화콘텐츠스토리텔링전문가양성
대경·강원권,금오공과대학교,첨단소재 부품 자기주도형 창의교육사업단
대경·강원권,금오공과대학교,융합형 프로 메카트로닉스 인력 양성 사업단
대경·강원권,금오공과대학교,그린화학소재창의인력양성사업단
대경·강원권,대구가톨릭대학교,중독과 폭력의 예방·치유·재활을 위한 전문인력 양성 사업단
대경·강원권,대구가톨릭대학교,신라문화 디자인 기반 문화콘텐츠 전문인력 양성 사업단
대경·강원권,대구가톨릭대학교,Dual Target 한국언어문화교육 사업단
대경·강원권,대구가톨릭대학교,대구경북 6차산업 전문인력양성 사업단
대경·강원권,대구가톨릭대학교,중남미 중심 신흥지역 맞춤형 글로벌융합 인재양성 사업단
대경·강원권,대구가톨릭대학교,ACEp 산업육성을 위한 글로벌 전문인력양성 사업단
대경·강원권,대구가톨릭대학교,지역특화산업 육성을 위한 창조명품형
대경·강원권,대구가톨릭대학교,Eyewear 인력양성 사업단
대경·강원권,대구가톨릭대학교,대경 의료산업을 선도하는 융합형 의료인재 양성 사업단
대경·강원권,대구대학교,특수과학문화교육인력양성사업단
대경·강원권,대구대학교,자연과학분야 융복합 인재양성 사업단
대경·강원권,대구대학교,지역 밀착형 뿌리산업 선도인력 양성 사업단
대경·강원권,대구대학교,EAST BASE
대경·강원권,대구한의대학교,한양방 융합 스포츠의학 전문 트레이너 양성 사업단
대경·강원권,대구한의대학교,한방산업과 연계한 HAPPY AGING 전문인력양성사업단
대경·강원권,상지대학교,강원권 화훼산업 특화를 위한 가드닝 전문가 육성사업단
대경·강원권,상지대학교,Green CREATE PLUS 의료관광사업단
대경·강원권,상지대학교,포스트 평창을 위한 창조콘텐츠관광 인재양성 사업단: 평창동계올림픽 및 포스트 평창을 위한 강원도형 관광문화기반 조성
대경·강원권,안동대학교,인문학기반 SW 생태계 구축을 위한 창의 인력 양성 사업단
대경·강원권,안동대학교,국제관광 전문인력 양성사업단
대경·강원권,안동대학교,국학 글로컬 미래 창의인재 양성사업단
대경·강원권,연세대학교_분교,근대 한국어문학 전문 인력 양성 사업단
대경·강원권,영남대학교,지구촌상생인재양성사업단
대경·강원권,영남대학교,문화융합디자인생태계조성사업단
대경·강원권,영남대학교,다문화시대 한국어문학인재 육성 사업단
대경·강원권,영남대학교,의약.정밀화학 특성화 사업단
대경·강원권,영남대학교,소재부품창의인력양성사업단
대경·강원권,영남대학교,IT·에너지·BT 산업 맞춤형 창의 화공 인재 양성 사업단
대경·강원권,영남대학교,DREAM 소프트웨어 인재 양성 사업단
대경·강원권,영남대학교(경북대),창조경제 실현을 위한 자동차융합부품 창의인력양성 사업단
대경·강원권,춘천교육대학교,Computational Thinking 능력을 겸비한 TPACK형 교사 양성
대경·강원권,한동대학교,ICT 기반 글로벌 Creatinnovation(창조혁신) 인재 양성 사업단
대경·강원권,한동대학교(포항공대),경북 동해안 지속가능 에너지-환경 융합인재 양성사업단
대경·강원권,한라대학교,"""관광안전Korea"" 융합인재 양성 사업단"
대경·강원권,한림대학교,동북아지역 융합인재양성 사업단
대경·강원권,한림대학교,르네상스 인문학 창의인재 육성사업단
